Clave,Longitud,Latitud,comid
E021185040,-74.798000000000002,4.275444440000000,610426563
E021185080,-75.104611109999993,4.216458330000000,610015611
E021190030,-74.454472220000000,4.348055560000000,610336799
E021190290,-74.713111110000000,4.161027780000002,610287532
E021190310,-74.329916670000003,4.387972220000000,610323597
E021190350,-74.359750000000005,4.152472220000000,610233852
E021195060,-74.487416670000002,4.192722220000001,610367614
E021195120,-74.396138890000003,4.395777780000002,610355277
E021200160,-73.734333329999998,5.057972220000000,610326199
E021200620,-73.696861110000000,5.079166670000000,610327077
E021201190,-73.907250000000005,5.214527780000000,610229385
E021201240,-74.126277779999995,4.481305560000000,610320074
E021201550,-74.226388889999996,4.796666670000000,610342937
E021205420,-74.209000000000003,4.691416670000000,610371101
E021205660,-74.526611110000005,4.581888890000000,610370225
E021205720,-74.189277779999998,4.505750000000000,610327105
E021205740,-73.701416670000000,5.117722220000000,610334991
E021205910,-74.001194440000006,4.989222220000000,610440601
E021205960,-74.152583329999999,4.939055560000000,610342044
E021205980,-74.200916669999998,4.792388890000000,610342937
E021206280,-74.333055560000005,4.653833330000000,610231180
E021210020,-75.321638890000003,4.556305560000000,610329747
E021230090,-74.729277780000004,5.202750000000000,610421232
E021230120,-74.581111109999995,4.985388890000000,610014682
E021235010,-74.702388889999995,4.561805560000000,610342067
E021245010,-75.200522219999996,4.429666670000000,610347355
E021250070,-74.935694440000006,4.800111110000000,610381653
E021250450,-74.882472219999997,5.053027780000000,610334113
E021250500,-75.075861110000005,4.921888890000000,610334126
E021255090,-74.899991670000006,5.000000000000000,610242600
E021255120,-75.117611109999999,5.016852780000000,610234681
E021255170,-75.173277780000006,4.870555560000000,610342930
E022020030,-75.674027780000003,3.092000000000000,610341276
E022020050,-75.604500000000002,3.395222220000000,610403740
E022045010,-75.503444439999996,3.722444440000000,610247076
E022050030,-75.195638889999998,3.795472220000000,610394035
E022050040,-75.379166670000004,3.928055560000000,610244425
E022050060,-75.693166669999997,3.903527780000000,610366747
E022050060,-75.693166669999997,3.903527780000000,610361466
E022050090,-75.021194440000002,3.923138890000000,610409865
E022055020,-75.536361110000001,3.455777780000000,610343014
E022060070,-75.219944440000006,3.939166670000000,610308664
E022065040,-75.488083329999995,3.906916670000000,610247947
E022070010,-75.607749999999996,4.006638890000000,610271702
E023020080,-75.144083330000001,5.265611110000000,610234663
E023020100,-74.914638890000006,5.321083330000000,610417704
E023025040,-74.902638890000006,5.285697220000000,610417704
E023050080,-75.057472219999994,5.298916670000000,610388665
E023050100,-74.726083329999994,5.730750000000000,610435276
E023050230,-75.149166670000000,5.374305560000000,610013778
E023055040,-74.999222219999993,5.419444440000000,610217937
E023060150,-74.627333329999999,5.758277780000000,610415035
E023060190,-74.485500000000002,5.196083330000000,610404508
E023060260,-74.382027780000001,5.064638890000000,610349077
E023065120,-74.139361109999996,5.141555560000000,610270752
E023080390,-75.163805560000000,6.468305560000000,610209952
E023080640,-75.328000000000003,6.171083330000000,610311170
E023080650,-75.335611110000002,6.073777780000000,610246055
E023080740,-75.259166669999999,6.396944440000000,610224916
E023080750,-75.182611109999996,6.053333330000000,610195896
E023080760,-75.016999999999996,6.487500000000000,610223154
E023085030,-75.143388889999997,6.376250000000000,610348117
E023085080,-74.836694440000002,6.483583330000000,610293549
E023085140,-75.100694439999998,5.963805560000000,610305020
E023085160,-75.253555559999995,6.311944440000000,610231961
E023090020,-74.681805560000001,6.393555560000000,610217876
E023120050,-74.101222219999997,5.534805560000000,610402728
E023120240,-74.154638890000001,5.371388890000000,610330579
E023120250,-74.068722219999998,5.649638890000000,610415044
E023125040,-73.920555559999997,6.616111110000000,610228421
E023125060,-73.913333330000000,5.758333330000000,610285676
E023125120,-73.952222219999996,6.308611110000000,610302363
E023130010,-74.031388890000002,6.877777780000000,610355127
E023160010,-73.944166670000001,7.089444440000000,610221356
E023175020,-74.716305559999995,7.011750000000000,610295279
E023180070,-73.489444440000000,7.390000000000000,610248618
E023180100,-73.800833330000003,7.783333330000000,610338352
E023180100,-73.800833330000003,7.783333330000000,610350675
E023185010,-73.537222220000004,7.456111110000000,610294372
E023190110,-73.428055560000004,7.838055560000000,610164989
E023190130,-72.970555559999994,7.196111110000000,610213426
E023190140,-73.201388890000004,7.464722220000000,610323411
E023190340,-73.064722219999993,7.213333330000000,610304945
E023190380,-73.217888889999998,7.211083330000000,610304947
E023190400,-73.057222220000000,7.124444440000000,610232793
E023190500,-73.388333329999995,7.759722220000000,610259149
E023190560,-73.559722219999998,7.574444440000000,610338369
E023205050,-74.240972220000003,7.885416670000000,610281146
E023210160,-73.737777780000002,8.326666670000000,610283759
E023215050,-73.636388890000006,8.614444440000000,610190462
E024010070,-73.709750000000000,5.303194440000000,610327943
E024010110,-73.469166670000007,6.076944440000000,610342855
E024010180,-73.631361110000000,5.538777780000000,610284808
E024010210,-73.781666670000007,5.873333330000000,610295348
E024010230,-73.239722220000004,6.355277780000000,610221398
E024010240,-73.303333330000001,6.262500000000000,610298843
E024010630,-73.444138890000005,5.760583330000000,610335837
E024010640,-73.770833330000002,5.986111110000000,610266300
E024010650,-73.341666669999995,6.151388890000000,610217010
E024010750,-73.609166669999993,5.925833330000000,610377184
E024010760,-73.441388889999999,6.099000000000000,610308536
E024010810,-73.548916669999997,5.750805560000000,610416796
E024010830,-73.450444439999998,5.640000000000000,610228483
E024011060,-73.801555559999997,5.462444440000000,610026096
E024011070,-73.467222219999996,6.323611110000000,610042761
E024015090,-73.602277779999994,5.710666670000000,610401840
E024015120,-73.734805559999998,5.467277780000000,610257531
E024015220,-73.495777779999997,5.509388890000000,610297130
E024015260,-73.368333329999999,6.355000000000000,610185318
E024015300,-73.543944440000004,5.655833330000000,610245202
E024020040,-73.098055560000006,6.138333330000000,610287412
E024020080,-73.142777780000003,6.441111110000000,610331393
E024020120,-73.044722219999997,6.299444440000000,610266281
E024020130,-73.056111110000003,6.598250000000000,610239863
E024020150,-73.106166669999993,6.576666670000000,610284743
E024020230,-72.946722219999998,6.248777780000000,610239005
E024030120,-73.076847779999994,5.523033060000000,610294489
E024030210,-72.697222220000000,6.836111110000000,610262728
E024030230,-72.976277780000004,5.615500000000000,610373683
E024030240,-72.689333329999997,6.231750000000000,610262766
E024030270,-72.844166670000007,6.830000000000000,610282090
E024030330,-72.931666669999998,6.939722220000000,610273283
E024030340,-72.811388890000003,6.671666670000000,610179138
E024030350,-73.044611110000005,5.830083330000000,610053350
E024030400,-72.985777780000006,5.868722220000000,610239028
E024030680,-72.590833329999995,6.653333330000000,610239860
E024030750,-72.858333329999994,6.881111110000000,610255687
E024030800,-73.163499999999999,5.533805560000000,610221447
E024035120,-73.074472220000004,5.802444440000000,610320870
E024035330,-72.582277779999998,6.328972220000000,610239880
E024035430,-73.116361110000000,5.745916670000000,610319117
E024040050,-73.202777780000005,6.644444440000000,610235460
E024060050,-73.092777780000006,6.759166670000000,610228412
E024060080,-73.490833330000001,7.270277780000000,610187021
E025020140,-75.450000000000003,8.949997220000000,610169321
E025020220,-73.972888889999993,9.492944440000000,610212409
E025020370,-74.942222220000005,8.036666670000002,610304899
E025020420,-74.560000000000002,8.390000000000002,610328637
E025020530,-75.089749999999995,8.025499999999999,610199298
E025020700,-75.338611110000002,8.053055560000002,610226576
E025020760,-74.940555560000007,9.004722220000000,610184278
E025020810,-74.605722220000004,8.291333330000002,610350646
E025020940,-74.735555559999995,8.332777780000002,610180797
E025020950,-74.769999999999996,9.039999999999999,610303076
E025020960,-74.825277779999993,9.588055560000001,610225603
E025020970,-73.941111109999994,8.459444440000000,610267914
E025021280,-74.510000000000005,8.970000000000002,610186040
E025021290,-74.408888890000000,9.101388890000001,610270515
E025021370,-74.708055560000005,8.881666670000000,610240608
E025021500,-74.352249999999998,9.581166670000000,610163125
E025021640,-73.702555559999993,8.712750000000000,610259977
E025025020,-74.838055560000001,9.731666669999999,610194795
E025025100,-74.845277780000004,9.281944440000000,610188664
E025025170,-75.498833329999997,8.740861110000004,610186054
E025025190,-75.583722219999999,8.399333329999999,610179036
E025025210,-74.457777780000001,8.911388890000000,610311005
E025025270,-75.387500000000003,9.316388890000001,610018819
E025025380,-75.044722219999997,9.163888890000001,610257306
E025027910,-74.561222220000005,8.344555560000000,610313679
E026010020,-76.495500000000007,2.343361110000000,610213722
E026010030,-76.454777780000001,2.380861110000000,610201398
E026020030,-76.536111109999993,2.642694440000000,610305226
E026020100,-76.639083330000005,3.020194440000000,610240078
E026020130,-76.418805559999996,2.541833330000000,610230431
E026020230,-76.756083329999996,2.606555560000000,610218105
E026020250,-76.546972220000001,2.903694440000000,610295529
E026025090,-76.561833329999999,2.584750000000000,610262987
E026030050,-76.811111109999999,2.455972220000000,610181153
E026030090,-76.829722219999994,2.515000000000000,610238351
E026040290,-76.407499999999999,2.880527780000000,610186408
E026045010,-76.414472219999993,3.262805560000000,610296385
E026050060,-76.696111110000004,2.954555560000000,610366804
