Clave,Longitud,Latitud,Altura,Nombre,Estacion,DEPARTAMEN,PROVINCIA,MUNICIPIO,comid
E000007029,-62.47083,-16.27139,234,San Javier Aeropuerto,,Santa Cruz,?uflo de Chavez,San Javier,620219933
E000007036,-64.10806,-18.48194,2030,Vallegrande Aeropuerto,,Santa Cruz,Vallegrande,Vallegrande,620142996
E000007039,-63.17806,-17.805,413,Trompillo Aeropuerto,,Santa Cruz,Andres Iba?ez,Santa Cruz de la Sierra,620149841
E000007040,-63.52583,-20.00667,810,Camiri Aeropuerto,,Santa Cruz,Cordillera,Camiri,620059139
E000007042,-60.74417,-17.83222,284,San Jos? de Chiquitos Aerop,,Santa Cruz,Chiquitos,San Jos�,620119571
E000007043,-63.13889,-17.64861,378,Viru Viru Aeropuerto,,Santa Cruz,Andres Iba?ez,Warnes,620167713
E000007058,-64.35,-18.08333,1930,El Qui?e,,Santa Cruz,Manuel Maria Caballero,Comarapa,620111329
E000007082,-63.15,-17.76667,398,Vallecito,,Santa Cruz,Andres Iba?ez,Santa Cruz de la Sierra,620129196
E000008003,-64.05972,-13.26111,141,Magdalena Aeropuerto,,Beni,It?nez,Magdalena,620990335
E000008004,-64.66583,-13.04722,139,San Joaquin Aeropuerto,,Beni,Mamore,San Joaqu�n,621050867
E000008006,-65.43444,-13.76167,144,Santa Ana del Yacuma Aerop,,Beni,Yacuma,Santa Ana,620539032
E000008007,-64.91639,-14.82333,156,Trinidad Aeropuerto,,Beni,Cercado,Trinidad,620500558
E000008008,-66.07611,-11.00667,141,Riberalta Aeropuerto,,Beni,Vaca Diez,Riberalta,620599432
E000008009,-67.50278,-14.42944,204,Rurrenabaque Aeropuerto,,Beni,Gral. J. Ballivian,Puerto Menor de Rurrenabaque,620521179
E000008010,-65.63333,-14.96667,160,San Ignacio de Moxos Aerop,,Beni,Moxos,San Ignacio,620435897
E000008011,-66.73861,-14.85833,194,San Borja Aeropuerto,,Beni,Gral. J. Ballivian,San Borja,620684949
E000008012,-67.35278,-14.30278,280,Reyes Aeropuerto,,Beni,Gral. J. Ballivian,Reyes,620636759
E000008015,-64.60556,-13.26444,139,San Ram?n Aeropuerto,,Beni,Mamore,San Ram�n,620155102
E000008022,-63.70194,-13.65806,150,Baures Aeropuerto,,Beni,It?nez,Baures,620836246
E000009002,-68.78028,-11.03972,235,Cobija Aeropuerto,,Pando,Nicolas Suarez,Cobija,620716394
EV00000001,-62.630207,-21.303418,0, ,V,Tarija,Gran Chaco,Villa Montes,640310266
EV00000002,-62.611245,-20.69665,0, ,V,Chuquisaca,Luis Calvo,Macharet�,640424284
EV00000003,-62.706053,-19.824421,0, ,V,Luis Calvo,Cordillera,Charagua,620067391
EV00000004,-61.890708,-19.445191,0, ,V,Santa Cruz,Cordillera,Charagua,640448410
EV00000005,-62.478515,-18.610885,0, ,V,Santa Cruz,Cordillera,Charagua,620127866
EV00000006,-61.264979,-18.705692,0, ,V,Santa Cruz,Cordillera,Charagua,620149889
EV00000007,-59.710135,-18.895307,0, ,V,Santa Cruz,Cordillera,Charagua,640267518
EV00000008,-58.420753,-19.350384,0, ,V,Santa Cruz,Germ�n Busch,Puerto Suarez,640363156
EV00000009,-58.62933,-18.440231,0, ,V,Santa Cruz,Germ�n Busch,El Carmen Rivero T�rrez,640253669
