Estacion,Lon,Lat,1,3,6,9,12
E000V00148,-73.63299999999998,-42.583,0.488,-0.333,-0.262,-0.272,-0.335
E000V00146,-73.789,-42.704,0.617,-0.257,-0.253,-0.276,-0.313
E000V00145,-72.717,-42.883,-0.484,-0.078,-1.105,-0.999,-0.735
E000430002,-71.852,-43.189,0.568,-0.682,-1.176,-1.175,-0.417
E000V00200,-74.295,-43.208,0.492,-0.336,-0.499,-0.538,-0.59
E000V00202,-72.84999999999998,-43.364,-0.556,-0.048,-0.948,-0.852,-0.6
E000V00150,-72.126,-43.474,-0.184,-1.04,-1.609,-1.58,-0.629
E000430004,-71.801,-43.612,0.683,-0.644,-1.315,-1.308,-0.272
E000V00153,-73.73999999999998,-43.89,0.039,-0.071,-0.762,-0.885,-1.048
E000V00152,-72.387,-43.917,-0.143,-1.024,-1.495,-1.449,-0.589
E000V00154,-71.847,-44.24,-0.537,-1.272,-1.645,-1.546,-0.646
E000V00203,-73.09699999999998,-44.729,-0.968,-0.468,-1.629,-1.543,-1.373
E000450001,-72.677,-45.399,-1.156,-1.311,-1.854,-1.739,-1.451
E000450004,-72.102,-45.591,-0.859,-1.024,-1.661,-1.651,-1.364
E000450005,-71.678,-45.918,-1.318,-1.497,-1.549,-1.562,-1.574
E000V00157,-71.941,-46.278,-1.404,-1.602,-1.657,-1.651,-1.535
E000V00205,-74.778,-46.355,-0.906,-0.643,-1.692,-1.599,-1.657
E000V00204,-73.336,-46.569,-0.157,-0.752,-1.851,-1.498,-2.044
E000460001,-71.685,-46.585,-0.854,-1.312,-1.408,-1.223,-0.973
E000470001,-72.583,-47.244,-0.338,-0.579,-1.789,-1.19,-0.737
E000V00156,-73.536,-47.8,-0.915,-0.99,-1.996,-1.406,-1.35
E000V00155,-72.56,-48.471,0.935,0.4,-0.978,-0.202,-0.642
E000V00206,-73.941,-48.958,-0.12,-0.023,-1.333,-0.945,-1.26
E000V00207,-73.56999999999998,-51.07,2.823,1.805,0.024,0.13,-0.548
E000V00158,-72.967,-51.184,1.862,0.866,-0.895,-0.164,-0.889
E000V00158,-72.967,-51.184,1.849,0.856,-0.904,-0.167,-0.893
E000V00159,-71.164,-52.309,-0.355,-0.435,-0.877,-1.082,-1.2
E000V00161,-70.361,-52.432,-0.953,-0.917,-0.996,-0.963,-1.054
E000V00160,-71.505,-52.601,-0.36,-0.524,-0.949,-1.102,-1.159
E000V00162,-69.27,-52.8,-1.252,-1.23,-1.328,-1.242,-1.335
E000520006,-70.839,-53.002,-0.878,-0.79,-0.929,-1.012,-1.152
E000530005,-70.326,-53.254,-1.822,-1.62,-1.638,-1.637,-1.958
E000V00208,-71.38,-53.8,1.003,0.345,-0.541,-0.726,-1.0
E000V00163,-68.804,-54.051,0.528,-0.229,-1.285,-1.498,-1.752
E000550001,-67.616,-54.932,-1.184,-1.563,-1.517,-1.614,-1.799
