Clave,Longitud,Latitud,Altitud,Estaci�n,Nombre,comid
E000V00196,-73.808999999999997,-41.359000000000002,NA,V,V33,660087050
E000410005,-73.096000000000004,-41.448000000000000,"87",O,PUERTO MONTT EL TEPUAL,660065932
E000V00198,-72.275000000000006,-41.579000000000001,NA,V,V35,660030029
E000V00144,-73.671999999999997,-41.710000000000001,"29",V,MAULL�N,660066639
E000V00140,-72.435000000000002,-41.938000000000002,"25",V,CALBUCO,660050451
E000V00141,-71.864999999999995,-42.075000000000003,"249",V,COCHAM�,660061718
E000V00151,-72.417000000000002,-42.100000000000001,"602",V,HUALAIHU�,660053974
E000V00149,-73.489999999999995,-42.156999999999996,"5",V,QUEMCHI,660090585
E000V00199,-74.078000000000003,-42.284999999999997,NA,V,V36,660003993
E000V00201,-72.662999999999997,-42.354999999999997,NA,V,V38,660068762
E000V00147,-73.567999999999998,-42.404000000000003,"155",V,CURACO DE V�LEZ,660078618
E000V00148,-73.632999999999996,-42.582999999999998,"50",V,PUQUELD�N,660013149
E000V00146,-73.789000000000001,-42.704000000000001,"145",V,CHONCHI,660046240
E000V00145,-72.716999999999999,-42.883000000000003,"20",V,QUINCHAO,660067363
E000430002,-71.852000000000004,-43.189000000000000,"347",O,FUTALEUF� AD.,660111016
E000V00200,-74.295000000000002,-43.207999999999998,NA,V,V37,660088488
E000V00202,-72.849999999999994,-43.363999999999997,NA,V,V39,660084267
E000V00150,-72.126000000000005,-43.473999999999997,"70",V,CHAIT�N,660083565
E000430004,-71.801000000000002,-43.612000000000002,"256",O,ALTO PALENA AD.,660065967
E000V00153,-73.739999999999995,-43.890000000000001,"8",V,GUAITECAS,660006139
E000V00152,-72.387000000000000,-43.917000000000002,"40",V,CISNES,660079348
E000V00154,-71.846999999999994,-44.240000000000002,"350",V,LAGO VERDE,660081466
E000V00203,-73.096999999999994,-44.728999999999999,NA,V,V40,660027266
E000450001,-72.677000000000007,-45.399000000000001,"11",O,PUERTO AYS�N AD.,660087821
E000450004,-72.102000000000004,-45.591000000000001,"299",O,COYHAIQUE TNE. VIDAL AD.,660085712
E000450005,-71.677999999999997,-45.917999999999999,"517",O,BALMACEDA AD.,660118807
E000V00157,-71.941000000000003,-46.277999999999999,"225",V,R�O IBA�EZ,660121628
E000V00205,-74.778000000000006,-46.354999999999997,NA,V,V42,660137821
E000V00204,-73.335999999999999,-46.569000000000003,NA,V,V41,660051936
E000460001,-71.685000000000002,-46.585000000000001,"311",O,CHILE CHICO AD.,660149089
