Clave,Longitud,Latitud,estaciones,comid
MO02980CP1,-62.814000000000000,9.173999999999999,,610183388
MO03820CC1,-63.274000000000001,8.976000000000003,,610302199
MO03938CP1,-62.213000000000001,8.712999999999999,,610162295
MO03939CP8,-64.200000000000003,8.699999999999999,,610237976
NE00791CP1,-64.376999999999995,11.010999999999999,,610072397
NE00795CC1,-64.290999999999997,11.025000000000000,,610072397
NE00881CP1,-63.965000000000003,11.081000000000000,,610072397
NE00882CP1,-63.875999999999998,11.124000000000001,,610072397
NE00893CC1,-63.936000000000000,11.023999999999999,,610072397
NE01740CC1,-64.105999999999995,10.906000000000001,,610099682
NE01806CP1,-63.835999999999999,10.971000000000000,,610077681
NE01831CP1,-63.999000000000002,10.782000000000000,,610095283
PO02239CP1,-69.097999999999999,9.667000000000000,,610054878
PO02248CC6,-69.216999999999999,9.600000000000000,,610146403
PO02253CC1,-69.364999999999995,9.427000000000000,,610154330
PO02259CP1,-69.078999999999994,9.494999999999999,,610187769
PO02266CP1,-69.488000000000000,9.400000000000000,,610156091
PO02273CP1,-69.986000000000004,9.353000000000000,,610163138
PO02277CC6,-69.103999999999999,9.263999999999999,,610177222
PO02282CP1,-69.876000000000005,9.151999999999999,,610259068
PO02286CP1,-69.582999999999998,9.157000000000000,,610170188
PO02299CC3,-69.733000000000004,9.016999999999999,svgu,610168437
PO02331CP1,-68.971000000000004,9.680999999999999,,610251116
PO03214CP1,-69.653000000000006,8.788000000000000,,610326850
PO03216CP1,-69.927000000000007,8.887000000000000,,610226525
PO03273CP1,-69.460999999999999,8.942000000000000,,610178122
SU01705CC1,-64.201999999999998,10.321999999999999,,610142840
SU01716CC9,-63.482999999999997,10.429000000000000,,610126111
SU01735CC3,-64.177000000000007,10.462999999999999,UDO,610194756
SU01820CP1,-63.021999999999998,10.650000000000000,,610124338
SU01828CP1,-63.106000000000002,10.577999999999999,,610126102
SU01829CP1,-63.667000000000002,10.500000000000000,,610190349
SU01839CP1,-63.183000000000000,10.449999999999999,,610107630
SU01841CP1,-63.325000000000003,10.478000000000000,,610114670
SU01844CP1,-63.420999999999999,10.532999999999999,,610129626
SU01857CP1,-63.549999999999997,10.308000000000000,,610148121
SU01858CP1,-63.307000000000002,10.331000000000000,,610171000
SU01869CC1,-63.932000000000002,10.250000000000000,,610146363
SU01872CC1,-63.116999999999997,10.699999999999999,,610099698
SU01873CP1,-63.816000000000003,10.183000000000000,,610145488
SU01875CP1,-64.378000000000000,10.282999999999999,,610124364
SU01876CP1,-64.037999999999997,10.342000000000001,,610222037
SU01890CC1,-64.331000000000003,10.178000000000001,,610190367
SU01922CP1,-62.700000000000003,10.600000000000000,,610099701
SU01928CC3,-62.302999999999997,10.583000000000000,svgi,610166583
TA03061CC1,-72.265000000000001,8.241000000000000,,610212480
